id,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
421,A,A,A,A,A,A,A,A,A,A
422,A,A,A,A,A,A,A,A,A,A
423,A,A,A,A,A,A,A,A,A,A
424,A,A,A,A,A,A,A,A,A,A
425,A,A,A,A,A,A,A,A,A,A
426,A,A,A,A,A,A,A,A,A,A
427,A,A,A,A,A,A,A,A,A,A
428,A,A,A,A,A,A,A,A,A,A
429,A,A,A,A,A,A,A,A,A,A
430,A,A,A,A,A,A,A,A,A,A
431,A,A,A,A,A,A,A,A,A,A
432,A,A,A,A,A,A,A,A,A,A
433,A,A,A,A,A,A,A,A,A,A
434,A,A,A,A,A,A,A,A,A,A
435,A,A,A,A,A,A,A,A,A,A
436,A,A,A,A,A,A,A,A,A,A
437,A,A,A,A,A,A,A,A,A,A
438,A,A,A,A,A,A,A,A,A,A
439,A,A,A,A,A,A,A,A,A,A
440,A,A,A,A,A,A,A,A,A,A
441,A,A,A,A,A,A,A,A,A,A
442,A,A,A,A,A,A,A,A,A,A
443,A,A,A,A,A,A,A,A,A,A
444,A,A,A,A,A,A,A,A,A,A
445,A,A,A,A,A,A,A,A,A,A
446,A,A,A,A,A,A,A,A,A,A
447,A,A,A,A,A,A,A,A,A,A
448,A,A,A,A,A,A,A,A,A,A
449,A,A,A,A,A,A,A,A,A,A
450,A,A,A,A,A,A,A,A,A,A
451,A,A,A,A,A,A,A,A,A,A
452,A,A,A,A,A,A,A,A,A,A
453,A,A,A,A,A,A,A,A,A,A
454,A,A,A,A,A,A,A,A,A,A
455,A,A,A,A,A,A,A,A,A,A
456,A,A,A,A,A,A,A,A,A,A
457,A,A,A,A,A,A,A,A,A,A
458,A,A,A,A,A,A,A,A,A,A
459,A,A,A,A,A,A,A,A,A,A
460,A,A,A,A,A,A,A,A,A,A
461,A,A,A,A,A,A,A,A,A,A
462,A,A,A,A,A,A,A,A,A,A
463,A,A,A,A,A,A,A,A,A,A
464,A,A,A,A,A,A,A,A,A,A
465,A,A,A,A,A,A,A,A,A,A
466,A,A,A,A,A,A,A,A,A,A
467,A,A,A,A,A,A,A,A,A,A
468,A,A,A,A,A,A,A,A,A,A
469,A,A,A,A,A,A,A,A,A,A
470,A,A,A,A,A,A,A,A,A,A
471,A,A,A,A,A,A,A,A,A,A
472,A,A,A,A,A,A,A,A,A,A
473,A,A,A,A,A,A,A,A,A,A
474,A,A,A,A,A,A,A,A,A,A
475,A,A,A,A,A,A,A,A,A,A
476,A,A,A,A,A,A,A,A,A,A
477,A,A,A,A,A,A,A,A,A,A
478,A,A,A,A,A,A,A,A,A,A
479,A,A,A,A,A,A,A,A,A,A
480,A,A,A,A,A,A,A,A,A,A
481,A,A,A,A,A,A,A,A,A,A
482,A,A,A,A,A,A,A,A,A,A
483,A,A,A,A,A,A,A,A,A,A
484,A,A,A,A,A,A,A,A,A,A
485,A,A,A,A,A,A,A,A,A,A
486,A,A,A,A,A,A,A,A,A,A
487,A,A,A,A,A,A,A,A,A,A
488,A,A,A,A,A,A,A,A,A,A
489,A,A,A,A,A,A,A,A,A,A
490,A,A,A,A,A,A,A,A,A,A
491,A,A,A,A,A,A,A,A,A,A
492,A,A,A,A,A,A,A,A,A,A
493,A,A,A,A,A,A,A,A,A,A
494,A,A,A,A,A,A,A,A,A,A
495,A,A,A,A,A,A,A,A,A,A
496,A,A,A,A,A,A,A,A,A,A
497,A,A,A,A,A,A,A,A,A,A
498,A,A,A,A,A,A,A,A,A,A
499,A,A,A,A,A,A,A,A,A,A
500,A,A,A,A,A,A,A,A,A,A
501,A,A,A,A,A,A,A,A,A,A
502,A,A,A,A,A,A,A,A,A,A
503,A,A,A,A,A,A,A,A,A,A
504,A,A,A,A,A,A,A,A,A,A
505,A,A,A,A,A,A,A,A,A,A
506,A,A,A,A,A,A,A,A,A,A
507,A,A,A,A,A,A,A,A,A,A
508,A,A,A,A,A,A,A,A,A,A
509,A,A,A,A,A,A,A,A,A,A
510,A,A,A,A,A,A,A,A,A,A
511,A,A,A,A,A,A,A,A,A,A
512,A,A,A,A,A,A,A,A,A,A
513,A,A,A,A,A,A,A,A,A,A
514,A,A,A,A,A,A,A,A,A,A
515,A,A,A,A,A,A,A,A,A,A
516,A,A,A,A,A,A,A,A,A,A
517,A,A,A,A,A,A,A,A,A,A
518,A,A,A,A,A,A,A,A,A,A
519,A,A,A,A,A,A,A,A,A,A
520,A,A,A,A,A,A,A,A,A,A
521,A,A,A,A,A,A,A,A,A,A
522,A,A,A,A,A,A,A,A,A,A
523,A,A,A,A,A,A,A,A,A,A
524,A,A,A,A,A,A,A,A,A,A
525,A,A,A,A,A,A,A,A,A,A
526,A,A,A,A,A,A,A,A,A,A
527,A,A,A,A,A,A,A,A,A,A
528,A,A,A,A,A,A,A,A,A,A
529,A,A,A,A,A,A,A,A,A,A
530,A,A,A,A,A,A,A,A,A,A
531,A,A,A,A,A,A,A,A,A,A
532,A,A,A,A,A,A,A,A,A,A
533,A,A,A,A,A,A,A,A,A,A
534,A,A,A,A,A,A,A,A,A,A
535,A,A,A,A,A,A,A,A,A,A
536,A,A,A,A,A,A,A,A,A,A
537,A,A,A,A,A,A,A,A,A,A
